empId,name,dob ,rating
I00552,Muthu,1989-07-08,80
I00553,chandru,1995-10-10,86
I00543,Vimal,1992-10-10,100
I00572,Karthick,1987-10-03,90
I00574,RK,1986-10-01,100
I0022,Muthu,1989-07-08,80
I002,chandru,1995-10-10,86
I003,Vimal,1992-10-10,100
I0054,Karthick,1987-10-03,90
I005,RK,1986-10-01,100
I0052,Muthu,1989-07-08,80
I0053,chandru,1995-10-10,86
I0043,Vimal,1992-10-10,100
I00052,Karthick,1987-10-03,90
I0054,RK,1986-10-01,100
I0020,Muthu,1989-07-08,80
I040553,chandru,1995-10-10,86
I040543,Vimal,1992-10-10,100
I050572,Karthick,1987-10-03,90
I005574,RK,1986-10-01,100
I005552,Muthu,1989-07-08,80
I004553,chandru,1995-10-10,86
I004543,Vimal,1992-10-10,100
I000572,Karthick,1987-10-03,90
I004574,RK,1986-10-01,100
I005552,Muthu,1989-07-08,80
I005553,chandru,1995-10-10,86
I005543,Vimal,1992-10-10,100
I004572,Karthick,1987-10-03,90
I005474,RK,1986-10-01,100
